tSNE1,tSNE2,Split
-26.621687,-4.5824723,Total
-27.147367,-4.908819,Total
0.96591663,-11.530962,Total
19.092804,-13.950408,Total
5.460164,11.465938,Total
-39.56294,7.8120832,Total
2.319142,-12.708056,Strat
-32.315132,-2.7527816,Total
19.359606,-13.783729,Total
6.5956845,-44.933918,Total
-7.0002103,7.423359,Total
-9.293487,3.6419554,Total
-9.299662,3.697592,Total
-5.818243,9.125249,Total
-5.2021594,13.653137,Total
-26.098223,15.609179,Total
-5.2106595,13.664178,Total
7.080897,-30.859457,Total
28.363848,13.93914,Total
1.9048972,5.2869763,Total
0.7830305,5.1269574,Total
-13.384528,3.2719343,Total
32.144722,17.380306,Total
7.429464,3.5247197,Strat
0.6871089,5.3952603,Total
28.666914,11.877558,Total
27.2278,33.280243,Total
1.9195892,4.820788,Total
31.737932,16.880758,Strat
28.584023,11.844981,Total
-7.13317,14.858003,Total
-8.185785,13.319508,Total
-7.2848873,14.709697,Total
-8.041978,14.058982,Total
-21.326344,19.166676,Total
-21.34798,19.145496,Total
-28.899183,-1.9566251,Strat
-27.470493,15.587421,Total
-27.42418,15.570777,Total
-24.26749,16.144709,Total
7.146572,-31.301899,Total
-24.646358,15.979315,Total
6.290474,-31.069408,Total
6.7380953,-30.730867,Total
-13.019996,-20.634727,Total
2.6330025,44.45374,Total
-2.494371,-19.218395,Strat
16.947948,8.292847,Total
15.313053,3.816595,Total
6.9387674,-0.17930879,Total
7.4167986,3.3015604,Total
-3.290117,-23.506523,Total
-15.836429,-18.92676,Total
8.420342,-20.712015,Total
-18.359041,39.015938,Total
7.471025,-8.528217,Total
-12.193135,-21.540594,Total
-10.83942,-17.642195,Total
25.052027,7.139315,Total
24.484732,6.078183,Total
24.366714,5.945347,Total
24.343155,5.885886,Total
0.6994698,3.018024,Total
-11.908185,-21.946192,Total
5.1500216,-13.383213,Total
5.1510086,-13.3787,Total
-16.452278,-32.28011,Total
5.8151636,26.508823,Strat
-12.190393,-21.535168,Total
-20.899847,-15.2478695,Total
6.0729804,23.15201,Total
26.687334,9.737881,Total
-11.268734,-25.397192,Total
-7.021302,-13.162752,Total
-7.1659307,-13.119889,Total
-7.1588163,-13.122723,Total
13.456736,16.852797,Strat
-36.043533,-7.2056575,Total
-13.004839,-22.681751,Total
27.051407,13.518988,Total
27.281061,13.113293,Total
26.92157,15.239396,Total
-0.8937433,26.23423,Total
-1.0133888,28.930569,Total
-3.314376,27.166153,Total
-2.0197008,27.130884,Total
-3.414287,26.210836,Total
-3.681985,27.268713,Total
-2.0088904,24.81495,Total
-2.0397,24.929428,Total
0.22237861,26.756903,Strat
0.23764068,26.254887,Total
-0.0013091981,26.24167,Total
-1.7029276,29.108704,Total
-1.7543725,27.503216,Total
-5.8384204,31.576534,Total
2.0213294,27.345026,Total
2.2564762,27.314299,Total
-6.274662,32.45769,Total
-0.8712101,35.687332,Total
-25.24028,15.779413,Total
23.210766,6.5972667,Total
1.8844895,-2.5556014,Total
-0.5365118,2.2705543,Strat
1.2383661,2.3967276,Total
-1.0324802,1.8104274,Strat
1.4723507,-3.281876,Total
1.3420016,2.640603,Total
3.259747,-3.166073,Total
-29.311916,13.127167,Total
-29.29816,13.134964,Total
-11.815906,-11.699623,Total
1.8615351,-15.940899,Strat
-19.603422,-9.130078,Total
-11.025582,7.6529713,Total
3.3213851,9.332316,Total
-19.698278,-9.044237,Total
-19.011944,-12.374728,Total
-10.920276,7.66479,Total
-10.694528,7.8874187,Total
-11.073634,-8.073609,Total
23.31832,-17.944641,Total
1.8010914,-16.340654,Total
18.266342,-12.1369,Strat
-0.34227905,-23.81646,Total
-1.6874938,-20.77217,Total
-0.04661334,14.231839,Total
-0.7400627,4.439884,Total
-7.7718377,10.00869,Total
-0.57867694,13.283963,Total
-0.9777031,13.077234,Total
1.3180641,14.562301,Total
-18.400166,10.829994,Total
11.719107,-12.761151,Total
0.8130107,13.8276615,Total
-0.58092356,13.2702875,Total
0.3135077,13.426828,Total
-0.3654414,14.045367,Total
7.7208533,-5.3502607,Total
16.387053,9.136624,Total
3.7541177,43.572758,Total
11.866115,5.0982585,Total
3.2202113,43.849133,Total
-10.843465,-16.703295,Strat
-31.468067,-6.811776,Total
-31.064806,-6.4148684,Total
-30.82106,-5.68683,Total
16.311,15.625865,Total
28.164112,15.340981,Total
28.592136,14.618358,Total
30.711271,17.4611,Total
29.445953,15.867986,Total
30.018795,16.557896,Total
17.039333,8.99178,Total
4.2152753,9.780992,Strat
-10.7860985,27.681307,Total
12.533654,31.369564,Total
-9.109691,36.466537,Total
-8.036282,36.636547,Total
-33.823505,18.678349,Total
-33.16959,19.627266,Total
-33.058327,19.658895,Total
-32.991062,19.136131,Total
-33.737183,19.523169,Total
-32.517902,18.726316,Total
-33.851242,19.920902,Strat
-7.8596697,-17.701675,Total
-7.857013,-17.704626,Total
-36.7747,-23.034084,Total
7.324023,-41.703434,Total
-13.653051,28.199768,Total
-36.843086,-22.881828,Total
-11.2355385,-25.482214,Total
-11.897237,-17.356192,Total
-10.856396,-17.570288,Total
-27.201092,31.041946,Strat
-27.241058,31.035088,Total
-23.334665,16.66775,Total
-27.445593,31.163792,Total
-7.385926,-20.29581,Strat
-33.537106,-2.903322,Total
-7.6389017,31.771465,Total
-5.491643,28.201406,Total
10.443834,5.835268,Total
-4.2970138,24.371075,Total
-5.083903,7.0129848,Strat
-2.508628,6.683809,Total
-6.3220954,9.211542,Total
15.076771,21.366684,Total
-24.474598,-12.780511,Total
-26.63919,-10.485335,Total
-26.152313,-11.6608925,Total
-23.777542,-10.4463825,Total
-24.67985,-11.261043,Strat
