tSNE1,tSNE2,Split,Folder
19.715769,-7.3545117,Total,1PBR_Neamine_mimic_6
22.040152,-9.639401,Total,1PBR_Neamine_mimic_7
21.274052,-8.643103,Total,1PBR_Neamine_mimic_8
21.76798,-9.403807,Total,1PBR_Neamine_mimic_9
29.370367,-17.512873,Total,1PBR_Neomycin
-13.272154,-3.8665514,Strat,1PBR_Nitro_substituted_benzimidazole_16S_A-site_RNA
23.248571,27.06252,Total,1PBR_Pactamycin
29.733784,-17.196766,Total,1PBR_Paromomycin
30.801336,-16.692526,Total,1PBR_Perazidoparomomycin_derivative_1
32.21725,-22.418507,Total,1PBR_Perazidoparomomycin_derivative_10
34.630863,-23.934525,Total,1PBR_Perazidoparomomycin_derivative_11
33.30039,-21.808565,Total,1PBR_Perazidoparomomycin_derivative_12
32.09991,-21.362429,Total,1PBR_Perazidoparomomycin_derivative_13
33.902832,-18.68845,Total,1PBR_Perazidoparomomycin_derivative_14
27.590897,-19.73404,Total,1PBR_Perazidoparomomycin_derivative_15
32.31427,-22.444016,Total,1PBR_Perazidoparomomycin_derivative_16
13.213478,-41.58688,Total,1PBR_Perazidoparomomycin_derivative_17
33.231224,-18.649796,Total,1PBR_Perazidoparomomycin_derivative_18
35.0292,-20.676132,Total,1PBR_Perazidoparomomycin_derivative_19
30.845228,-20.234163,Total,1PBR_Perazidoparomomycin_derivative_2
33.071392,-20.231682,Total,1PBR_Perazidoparomomycin_derivative_20
13.198763,-41.588696,Total,1PBR_Perazidoparomomycin_derivative_21
30.897577,-24.028349,Strat,1PBR_Perazidoparomomycin_derivative_22
34.84792,-20.786507,Total,1PBR_Perazidoparomomycin_derivative_23
30.247532,-21.296738,Total,1PBR_Perazidoparomomycin_derivative_26
29.70096,-20.85754,Total,1PBR_Perazidoparomomycin_derivative_27
32.257862,-16.806042,Strat,1PBR_Perazidoparomomycin_derivative_3
37.823376,-22.354298,Total,1PBR_Perazidoparomomycin_derivative_4
30.528738,-17.814863,Total,1PBR_Perazidoparomomycin_derivative_5
30.39429,-20.088821,Total,1PBR_Perazidoparomomycin_derivative_6
30.723047,-19.390995,Total,1PBR_Perazidoparomomycin_derivative_8
37.829205,-22.344341,Total,1PBR_Perazidoparomomycin_derivative_9
16.419662,-6.8819733,Total,1PBR_Piperidine_aminoglycoside_16S__A_site_RNA_mimic_1
17.040178,-6.1538134,Total,1PBR_Piperidine_aminoglycoside_16S__A_site_RNA_mimic_2
15.812451,-7.7039843,Total,1PBR_Piperidine_aminoglycoside_16S__A_site_RNA_mimic_3
16.146816,-7.760416,Total,1PBR_Piperidine_aminoglycoside_16S__A_site_RNA_mimic_4
16.289745,-8.3253,Total,1PBR_Piperidine_aminoglycoside_16S__A_site_RNA_mimic_5
10.966549,-43.18368,Total,1PBR_Quinolinyl_DOS_der
12.08842,-42.695187,Total,1PBR_Quinolinyl_DOS_paromomycin_der_1
11.467143,-43.232475,Total,1PBR_Quinolinyl_DOS_paromomycin_der_2
11.515828,-43.36203,Total,1PBR_Quinolinyl_DOS_paromomycin_der_3
16.785624,-5.029612,Total,1PBR_Spiro-compound_4
16.250813,-5.0652943,Strat,1PBR_Spiro-compound_5
14.787201,-5.6094594,Total,1PBR_Spiro-compound_6
