Threshold,Accuracy,Precision,Recall,F1
0.36,0.7589453860640302,0.600418410041841,0.8153409090909091,0.691566265060241
0.37,0.768361581920904,0.6147186147186147,0.8068181818181818,0.6977886977886978
0.38,0.7749529190207156,0.6275395033860045,0.7897727272727273,0.6993710691823899
0.39,0.7693032015065914,0.6247086247086248,0.7613636363636364,0.6862996158770807
0.4,0.7730696798493408,0.6330935251798561,0.75,0.6866059817945382
0.41,0.7777777777777778,0.6414634146341464,0.7471590909090909,0.6902887139107612
0.42,0.78060263653484,0.6498740554156172,0.7329545454545454,0.6889185580774366
0.43,0.7796610169491526,0.6536458333333334,0.7130681818181818,0.6820652173913043
0.44,0.788135593220339,0.6711590296495957,0.7073863636363636,0.6887966804979254
0.45,0.7909604519774012,0.6846590909090909,0.6846590909090909,0.6846590909090909
0.46,0.7928436911487758,0.6941176470588235,0.6704545454545454,0.6820809248554913
0.47,0.7966101694915254,0.7085889570552147,0.65625,0.6814159292035398
0.48,0.7994350282485876,0.7206349206349206,0.6448863636363636,0.6806596701649175
0.49,0.8013182674199624,0.7281553398058253,0.6392045454545454,0.6807866868381239
0.5,0.8013182674199624,0.7311475409836066,0.6335227272727273,0.6788432267884322
0.51,0.7994350282485876,0.735593220338983,0.6164772727272727,0.6707882534775889
0.52,0.800376647834275,0.7447552447552448,0.6051136363636364,0.6677115987460814
0.53,0.7975517890772128,0.7437722419928826,0.59375,0.6603475513428121
0.54,0.7947269303201506,0.7427536231884058,0.5823863636363636,0.6528662420382165
0.55,0.7947269303201506,0.7537878787878788,0.5653409090909091,0.6461038961038961
0.56,0.7947269303201506,0.7637795275590551,0.5511363636363636,0.6402640264026402
0.5700000000000001,0.7966101694915254,0.7786885245901639,0.5397727272727273,0.6375838926174497
0.58,0.7966101694915254,0.7905982905982906,0.5255681818181818,0.6313993174061433
0.59,0.7966101694915254,0.7982456140350878,0.5170454545454546,0.6275862068965518
0.6,0.795668549905838,0.8110599078341014,0.5,0.6186291739894552
0.61,0.7890772128060264,0.8047619047619048,0.4801136363636363,0.6014234875444839
0.62,0.788135593220339,0.8256410256410256,0.4573863636363636,0.5886654478976234
0.63,0.7843691148775894,0.8253968253968254,0.4431818181818182,0.5767097966728282
0.64,0.7843691148775894,0.8360655737704918,0.4346590909090909,0.57196261682243
0.65,0.78060263653484,0.8439306358381503,0.4147727272727273,0.5561904761904763
0.66,0.7777777777777778,0.8536585365853658,0.3977272727272727,0.5426356589147285
0.67,0.7749529190207156,0.8598726114649682,0.3835227272727273,0.5304518664047152
0.68,0.775894538606403,0.875,0.3778409090909091,0.5277777777777778
0.6900000000000001,0.7740112994350282,0.8835616438356164,0.3664772727272727,0.5180722891566265
0.7000000000000001,0.7730696798493408,0.8992805755395683,0.3551136363636363,0.5091649694501018
0.71,0.7674199623352166,0.9069767441860463,0.3323863636363636,0.4864864864864864
0.72,0.7617702448210922,0.902439024390244,0.3153409090909091,0.4673684210526316
0.73,0.7504708097928436,0.8918918918918919,0.28125,0.427645788336933
0.74,0.7495291902071564,0.8981481481481481,0.2755681818181818,0.4217391304347826
0.75,0.7467043314500942,0.8952380952380953,0.2670454545454545,0.4113785557986871
0.76,0.7467043314500942,0.9278350515463918,0.2556818181818182,0.400890868596882
0.77,0.7429378531073446,0.934065934065934,0.2414772727272727,0.3837471783295711
0.78,0.7419962335216572,0.9431818181818182,0.2357954545454545,0.3772727272727273
0.79,0.736346516007533,0.9390243902439024,0.21875,0.3548387096774193
0.8,0.7344632768361582,0.9487179487179488,0.2102272727272727,0.3441860465116279
0.81,0.731638418079096,0.971830985915493,0.1960227272727272,0.326241134751773
0.8200000000000001,0.7297551789077212,0.9710144927536232,0.1903409090909091,0.3182897862232779
0.8300000000000001,0.7231638418079096,0.9833333333333332,0.1676136363636363,0.2864077669902912
0.84,0.7156308851224106,1.0,0.1420454545454545,0.2487562189054726
0.85,0.711864406779661,1.0,0.1306818181818181,0.2311557788944723
0.86,0.7090395480225988,1.0,0.1221590909090909,0.2177215189873418
0.87,0.7062146892655368,1.0,0.1136363636363636,0.2040816326530612
0.88,0.6977401129943502,1.0,0.0880681818181818,0.1618798955613577
0.89,0.6902071563088512,1.0,0.065340909090909,0.1226666666666666
0.9,0.6854990583804144,1.0,0.0511363636363636,0.0972972972972973
0.91,0.6836158192090396,1.0,0.0454545454545454,0.0869565217391304
0.92,0.6807909604519774,1.0,0.0369318181818181,0.0712328767123287
0.93,0.6770244821092278,1.0,0.0255681818181818,0.0498614958448753
0.94,0.6732580037664784,1.0,0.0142045454545454,0.0280112044817927
0.95,0.6713747645951036,1.0,0.0085227272727272,0.0169014084507042
0.96,0.6713747645951036,1.0,0.0085227272727272,0.0169014084507042
0.97,0.6694915254237288,1.0,0.002840909090909,0.0056657223796033
0.98,0.6685499058380414,0.0,0.0,0.0
0.99,0.6685499058380414,0.0,0.0,0.0
1.0,0.6685499058380414,0.0,0.0,0.0
